Player,Total_Runs,Balls_Faced,Total_Balls,Times_Out,Matches_Played,4s,6s,Strike_Rate,Batting_Average,Wickets,Balls_Bowled,Runs_Conceded,Overs_Bowled,Economy,Fantasy_Batting,Fantasy_Bowling,Total_Fantasy_Points
A Ashish Reddy,280.0,196.0,196.0,15.0,23.0,16.0,15.0,142.85714285714286,18.666666666666668,19.0,270.0,400.0,45.0,8.88888888888889,324.0,499.0,823.0
A Badoni,161.0,139.0,139.0,9.0,11.0,11.0,7.0,115.8273381294964,17.88888888888889,2.0,12.0,12.0,2.0,6.0,196.0,50.0,246.0
A Chandila,4.0,7.0,7.0,1.0,2.0,0.0,0.0,57.14285714285714,4.0,11.0,234.0,245.0,39.0,6.282051282051282,2.0,299.0,301.0
A Chopra,53.0,75.0,75.0,5.0,6.0,7.0,0.0,70.66666666666667,10.6,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0
A Choudhary,25.0,20.0,20.0,2.0,3.0,1.0,1.0,125.0,12.5,5.0,108.0,144.0,18.0,8.0,24.0,149.0,173.0
A Dananjaya,4.0,5.0,5.0,0.0,1.0,0.0,0.0,80.0,4.0,0.0,25.0,47.0,4.1,11.28,4.0,-4.0,0.0
A Flintoff,62.0,57.0,57.0,2.0,3.0,5.0,2.0,108.77192982456141,31.0,2.0,66.0,106.0,11.0,9.636363636363637,79.0,48.0,127.0
A Kumble,35.0,49.0,49.0,2.0,15.0,3.0,0.0,71.42857142857143,17.5,49.0,983.0,1089.0,163.5,6.646998982706002,38.0,1249.0,1287.0
A Manohar,108.0,79.0,79.0,6.0,7.0,14.0,3.0,136.70886075949366,18.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0
A Mishra,362.0,410.0,410.0,30.0,54.0,29.0,5.0,88.29268292682927,12.066666666666666,175.0,3317.0,4022.0,552.5,7.275248718721736,369.0,4399.0,4768.0
A Mithun,34.0,26.0,26.0,5.0,6.0,4.0,1.0,130.76923076923077,6.8,8.0,312.0,477.0,52.0,9.173076923076923,34.0,222.0,256.0
A Mukund,19.0,23.0,23.0,2.0,2.0,1.0,0.0,82.6086956521739,9.5,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0
A Nehra,41.0,63.0,63.0,8.0,17.0,3.0,1.0,65.07936507936508,5.125,121.0,1974.0,2537.0,329.0,7.711246200607903,34.0,3049.0,3083.0
A Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,31.0,3.0,10.333333333333334,0.0,23.0,23.0
A Nortje,8.0,13.0,13.0,1.0,4.0,0.0,0.0,61.53846153846154,8.0,44.0,706.0,946.0,117.4,8.039660056657224,6.0,1124.0,1130.0
A Singh,2.0,10.0,10.0,4.0,5.0,0.0,0.0,20.0,0.5,31.0,486.0,639.0,81.0,7.888888888888889,-6.0,799.0,793.0
A Symonds,974.0,781.0,781.0,26.0,36.0,74.0,41.0,124.71190781049937,37.46153846153846,23.0,540.0,694.0,90.0,7.711111111111111,1106.0,599.0,1705.0
A Tomar,4.0,8.0,8.0,1.0,1.0,1.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
A Uniyal,4.0,7.0,7.0,1.0,2.0,0.0,0.0,57.14285714285714,4.0,3.0,38.0,67.0,6.2,10.578947368421053,2.0,81.0,83.0
A Zampa,5.0,8.0,8.0,2.0,2.0,1.0,0.0,62.5,2.5,21.0,292.0,373.0,48.4,7.664383561643836,2.0,549.0,551.0
AA Bilakhia,69.0,88.0,88.0,5.0,7.0,5.0,0.0,78.4090909090909,13.8,0.0,0.0,0.0,0.0,0.0,76.0,0.0,76.0
AA Chavan,12.0,11.0,11.0,1.0,3.0,2.0,0.0,109.09090909090908,12.0,8.0,255.0,339.0,42.3,7.976470588235294,12.0,224.0,236.0
AA Jhunjhunwala,217.0,218.0,218.0,14.0,15.0,19.0,5.0,99.54128440366972,15.5,1.0,88.0,130.0,14.4,8.863636363636363,246.0,25.0,271.0
